dwg	application/acad
arj	application/arj
mme	application/base64
mm	application/base64
hqx	application/binhex
hqx	application/binhex4
book	application/book
boo	application/book
cdf	application/cdf
ccad	application/clariscad
dp	application/commonground
drw	application/drafting
tsp	application/dsptype
dxf	application/dxf
js	application/ecmascript
evy	application/envoy
xl	application/excel
xls	application/excel
xla	application/excel
xlb	application/excel
xlc	application/excel
xld	application/excel
xlk	application/excel
xll	application/excel
xlm	application/excel
xlt	application/excel
xlv	application/excel
xlw	application/excel
fif	application/fractals
frl	application/freeloader
spl	application/futuresplash
tgz	application/gnutar
vew	application/groupwise
hlp	application/hlp
hta	application/hta
unv	application/i-deas
iges	application/iges
igs	application/iges
inf	application/inf
class	application/java
class	application/java-byte-code
js	application/javascript
lha	application/lha
lzx	application/lzx
bin	application/mac-binary
hqx	application/mac-binhex
hqx	application/mac-binhex40
cpt	application/mac-compactpro
bin	application/macbinary
mrc	application/marc
mbd	application/mbedlet
mcd	application/mcad
aps	application/mime
ppt	application/mspowerpoint
pot	application/mspowerpoint
pps	application/mspowerpoint
ppz	application/mspowerpoint
doc	application/msword
dot	application/msword
w6w	application/msword
wiz	application/msword
word	application/msword
wri	application/mswrite
mcp	application/netmc
o	application/octet-stream
a	application/octet-stream
arc	application/octet-stream
arj	application/octet-stream
bin	application/octet-stream
com	application/octet-stream
dump	application/octet-stream
exe	application/octet-stream
lha	application/octet-stream
lhx	application/octet-stream
lzh	application/octet-stream
lzx	application/octet-stream
psd	application/octet-stream
saveme	application/octet-stream
uu	application/octet-stream
zoo	application/octet-stream
oda	application/oda
pdf	application/pdf
p12	application/pkcs-12
crl	application/pkcs-crl
p10	application/pkcs10
p7m	application/pkcs7-mime
p7c	application/pkcs7-mime
p7s	application/pkcs7-signature
crt	application/pkix-cert
cer	application/pkix-cert
crl	application/pkix-crl
text	application/plain
ps	application/postscript
ai	application/postscript
eps	application/postscript
ppt	application/powerpoint
part	application/pro_eng
prt	application/pro_eng
rng	application/ringing-tones
rtf	application/rtf
rtx	application/rtf
sdp	application/sdp
sea	application/sea
set	application/set
stl	application/sla
smi	application/smil
smil	application/smil
sol	application/solids
sdr	application/sounder
step	application/step
stp	application/step
ssm	application/streamingmedia
tbk	application/toolbook
vda	application/vda
fdf	application/vnd.fdf
hpgl	application/vnd.hp-hpgl
hgl	application/vnd.hp-hpgl
hpg	application/vnd.hp-hpgl
pcl	application/vnd.hp-pcl
xls	application/vnd.ms-excel
xlb	application/vnd.ms-excel
xlc	application/vnd.ms-excel
xll	application/vnd.ms-excel
xlm	application/vnd.ms-excel
xlw	application/vnd.ms-excel
sst	application/vnd.ms-pki.certstore
pko	application/vnd.ms-pki.pko
cat	application/vnd.ms-pki.seccat
stl	application/vnd.ms-pki.stl
ppt	application/vnd.ms-powerpoint
pot	application/vnd.ms-powerpoint
ppa	application/vnd.ms-powerpoint
pps	application/vnd.ms-powerpoint
pwz	application/vnd.ms-powerpoint
mpp	application/vnd.ms-project
ncm	application/vnd.nokia.configuration-message
rng	application/vnd.nokia.ringing-tone
rm	application/vnd.rn-realmedia
rnx	application/vnd.rn-realplayer
wmlc	application/vnd.wap.wmlc
wmlsc	application/vnd.wap.wmlscriptc
web	application/vnd.xara
vmd	application/vocaltec-media-desc
vmf	application/vocaltec-media-file
wpd	application/wordperfect
wp	application/wordperfect
wp5	application/wordperfect
wp6	application/wordperfect
w60	application/wordperfect6.0
wp5	application/wordperfect6.0
w61	application/wordperfect6.1
wk1	application/x-123
aim	application/x-aim
aab	application/x-authorware-bin
aam	application/x-authorware-map
aas	application/x-authorware-seg
bcpio	application/x-bcpio
bin	application/x-binary
hqx	application/x-binhex40
bsh	application/x-bsh
sh	application/x-bsh
shar	application/x-bsh
elc	application/x-bytecode.elisp (compiled elisp)
pyc	application/x-bytecode.python
bz	application/x-bzip
bz2	application/x-bzip2
boz	application/x-bzip2
cdf	application/x-cdf
vcd	application/x-cdlink
cha	application/x-chat
chat	application/x-chat
ras	application/x-cmu-raster
cco	application/x-cocoa
cpt	application/x-compactpro
z	application/x-compress
zip	application/x-compressed
z	application/x-compressed
gz	application/x-compressed
tgz	application/x-compressed
nsc	application/x-conference
cpio	application/x-cpio
cpt	application/x-cpt
csh	application/x-csh
deepv	application/x-deepv
dir	application/x-director
dcr	application/x-director
dxr	application/x-director
dvi	application/x-dvi
elc	application/x-elc
env	application/x-envoy
evy	application/x-envoy
es	application/x-esrehber
xls	application/x-excel
xla	application/x-excel
xlb	application/x-excel
xlc	application/x-excel
xld	application/x-excel
xlk	application/x-excel
xll	application/x-excel
xlm	application/x-excel
xlt	application/x-excel
xlv	application/x-excel
xlw	application/x-excel
mif	application/x-frame
pre	application/x-freelance
gsp	application/x-gsp
gss	application/x-gss
gtar	application/x-gtar
gz	application/x-gzip
gzip	application/x-gzip
hdf	application/x-hdf
hlp	application/x-helpfile
help	application/x-helpfile
imap	application/x-httpd-imap
ima	application/x-ima
ins	application/x-internett-signup
iv	application/x-inventor
ip	application/x-ip2
class	application/x-java-class
jcm	application/x-java-commerce
js	application/x-javascript
skd	application/x-koan
skm	application/x-koan
skp	application/x-koan
skt	application/x-koan
ksh	application/x-ksh
latex	application/x-latex
ltx	application/x-latex
lha	application/x-lha
lsp	application/x-lisp
ivy	application/x-livescreen
wq1	application/x-lotus
scm	application/x-lotusscreencam
lzh	application/x-lzh
lzx	application/x-lzx
hqx	application/x-mac-binhex40
bin	application/x-macbinary
mc$	application/x-magic-cap-package-1.0
mcd	application/x-mathcad
mm	application/x-meme
mid	application/x-midi
midi	application/x-midi
mif	application/x-mif
nix	application/x-mix-transfer
asx	application/x-mplayer2
xls	application/x-msexcel
xla	application/x-msexcel
xlw	application/x-msexcel
ppt	application/x-mspowerpoint
ani	application/x-navi-animation
nvd	application/x-navidoc
map	application/x-navimap
stl	application/x-navistyle
cdf	application/x-netcdf
nc	application/x-netcdf
pkg	application/x-newton-compatible-pkg
aos	application/x-nokia-9000-communicator-add-on-software
omc	application/x-omc
omcd	application/x-omcdatamaker
omcr	application/x-omcregerator
pm4	application/x-pagemaker
pm5	application/x-pagemaker
pcl	application/x-pcl
plx	application/x-pixclscript
p10	application/x-pkcs10
p12	application/x-pkcs12
spc	application/x-pkcs7-certificates
p7r	application/x-pkcs7-certreqresp
p7c	application/x-pkcs7-mime
p7m	application/x-pkcs7-mime
p7a	application/x-pkcs7-signature
css	application/x-pointplus
pnm	application/x-portable-anymap
mpt	application/x-project
mpc	application/x-project
mpv	application/x-project
mpx	application/x-project
wb1	application/x-qpro
rtf	application/x-rtf
sdp	application/x-sdp
sea	application/x-sea
sl	application/x-seelogo
sh	application/x-sh
sh	application/x-shar
shar	application/x-shar
swf	application/x-shockwave-flash
sit	application/x-sit
spr	application/x-sprite
sprite	application/x-sprite
sit	application/x-stuffit
sv4cpio	application/x-sv4cpio
sv4crc	application/x-sv4crc
tar	application/x-tar
tbk	application/x-tbook
sbk	application/x-tbook
tcl	application/x-tcl
tex	application/x-tex
texi	application/x-texinfo
texinfo	application/x-texinfo
roff	application/x-troff
t	application/x-troff
tr	application/x-troff
man	application/x-troff-man
me	application/x-troff-me
ms	application/x-troff-ms
avi	application/x-troff-msvideo
ustar	application/x-ustar
vsd	application/x-visio
vst	application/x-visio
vsw	application/x-visio
mzz	application/x-vnd.audioexplosion.mzz
xpix	application/x-vnd.ls-xpix
vrml	application/x-vrml
wsrc	application/x-wais-source
src	application/x-wais-source
hlp	application/x-winhelp
wtk	application/x-wintalk
wrl	application/x-world
svr	application/x-world
wpd	application/x-wpwin
wri	application/x-wri
cer	application/x-x509-ca-cert
crt	application/x-x509-ca-cert
der	application/x-x509-ca-cert
crt	application/x-x509-user-cert
zip	application/x-zip-compressed
xml	application/xml
zip	application/zip
aiff	audio/aiff
aif	audio/aiff
aifc	audio/aiff
au	audio/basic
snd	audio/basic
it	audio/it
funk	audio/make
my	audio/make
pfunk	audio/make
pfunk	audio/make.my.funk
rmi	audio/mid
mid	audio/midi
kar	audio/midi
midi	audio/midi
mod	audio/mod
mpg	audio/mpeg
m2a	audio/mpeg
mp2	audio/mpeg
mpa	audio/mpeg
mpga	audio/mpeg
mp3	audio/mpeg3
la	audio/nspaudio
lma	audio/nspaudio
s3m	audio/s3m
tsi	audio/tsp-audio
tsp	audio/tsplayer
qcp	audio/vnd.qcelp
voc	audio/voc
vox	audio/voxware
wav	audio/wav
snd	audio/x-adpcm
aiff	audio/x-aiff
aif	audio/x-aiff
aifc	audio/x-aiff
au	audio/x-au
gsm	audio/x-gsm
gsd	audio/x-gsm
jam	audio/x-jam
lam	audio/x-liveaudio
mid	audio/x-mid
midi	audio/x-mid
mid	audio/x-midi
midi	audio/x-midi
mod	audio/x-mod
mp2	audio/x-mpeg
mp3	audio/x-mpeg-3
m3u	audio/x-mpequrl
la	audio/x-nspaudio
lma	audio/x-nspaudio
ram	audio/x-pn-realaudio
ra	audio/x-pn-realaudio
rm	audio/x-pn-realaudio
rmm	audio/x-pn-realaudio
rmp	audio/x-pn-realaudio
ra	audio/x-pn-realaudio-plugin
rmp	audio/x-pn-realaudio-plugin
rpm	audio/x-pn-realaudio-plugin
sid	audio/x-psid
ra	audio/x-realaudio
vqf	audio/x-twinvq
vqe	audio/x-twinvq-plugin
vql	audio/x-twinvq-plugin
mjf	audio/x-vnd.audioexplosion.mjuicemediafile
voc	audio/x-voc
wav	audio/x-wav
xm	audio/xm
pdb	chemical/x-pdb
xyz	chemical/x-pdb
dwf	drawing/x-dwf
ivr	i-world/i-vrml
bmp	image/bmp
bm	image/bmp
ras	image/cmu-raster
rast	image/cmu-raster
fif	image/fif
flo	image/florian
turbot	image/florian
g3	image/g3fax
gif	image/gif
ief	image/ief
iefs	image/ief
