id,name,name2,name_temp,price_min,name_staging,price_market,name_proposed,price_proposed,name_alternative,description_range_0,description_range_1,description_range_2,description_range_3,description_range_4,description_range_5,description_range_6,description_range_7,description_range_8,description_range_9,description_range_10,description_range_11,description_range_12,description_range_13,description_range_14,description_range_15,staging_info_part_1_chunk,staging_info_part_2_chunk,staging_info_part_3_chunk,staging_info_part_4_chunk,staging_info_part_5_chunk
0,principal sum,kind rate,principal sum86761,399,kind-rate,372,principal sum_Final,759,kind-rate_Alt,tH2s1ffL7eJPY835J,YqMWh20uUJ54db9FmnBqg3SpKM,nPOsDn6l0jRQ,v9PsGlFc8VjdBU5y8MBlSeQ,S3ojA7r3NKVigAmZhchERKn,zVTdi2lGsnqsn8ANnFNI,v7TEH5J3TFEGBjBYEVpTnFGnkwRi,A47PJmtJCPgcH7P0JpU,OHzUNgB8XDVSRyNSO4lBcH,7IkXFyENcQmoYylr9PElh,EKTVC9xWQ,mODCVDu1nMK8DXclj0vmXG,jolhJs,Qe5yXv34qkKw3OE1mFX5K2nK71EU,8ONbm0TOI2HZ3diw6,R084W0Vjxa0oSoSLWdv6UOw6gd,<blank>,<blank>,<blank>,<blank>,<blank>
1,auburn frame,hot circuit,auburn frame88153,1874,hot-circuit,1791,auburn frame_Final,2213,hot-circuit_Alt,uekpksLid,RHNY5tEAfEffLPmHKwCpFb,JlBJi274QH1TWF1N,jc7WvdxZCLKiyp,hCM688PkXJcE7e7Hs36t,XaULnskA4YsN,WqDlIAHCx9jh3JyXaHuiaYjV8C4ND,QKEkltXCwIbBk0XYQCv326lQIr,9wWiD23RAdzWo,Zz0DjmQxsP,oLilqxOWWP0oHy2Ub4fIG5,89cDAXLdDxLUS7i7Mp,GYwGbckd3gdbDW8,J2cFkwHr28nVmf8mvirc,db78FODF58xoCYE4WZKZ5,OV022t9QFMGozZvZQCzVYQ,<blank>,<blank>,<blank>,<blank>,<blank>
2,messy radian,mode score,messy radian294531,314,mode-score,254,messy radian_Final,1006,mode-score_Alt,WgSa6bndXVPCt7EZk2N,1SwAA,352p7tDlzYkOgJ0IEWy,bO5PpsTKNjOEgLMR,kJJZ8ABZOdgb4A58Z9Q,aVaj2OLEB4Z,4CqPegDK5tT,9EB0w2ix,8d8yFIHydyJ6CFzgwPKdnVWrrU9,ORagw1DlwSnwuICAKNvPUvf68W49dP,Ec2KLLMlUpoVxqNIsdOm,YqHLvrJf,rrDNJCcAo0k2wKzoc1osrHrxwF,EKvkJGsMA9RFULz9nMCcarO,VCEvVJK6,hu6Zgxvi0dOAv,<blank>,<blank>,<blank>,<blank>,<blank>
3,rigid amplifier,undirected groove,rigid amplifier176498,1073,undirected-groove,998,rigid amplifier_Final,1203,undirected-groove_Alt,FHLDPkl80R,1F0WsYPryYeBuDc66XQgn8ovfbDuc,oFRs0ypFklkhq1a1ys4gHXRG,AixhlAloY6DdGFBZ98pIaZKxrd,UfMuGHsF,pLHuQnNbR9a59YZLpYOzG2hpjn7,w82Ox,NDtThc2yA74cQ2SSntlS,df5r7ekHBhnHQbPJx7ZbnYR,qGyKQH2QdCtiS8wX6l5,3hXrZvlFwZr6ZHU4lUiDKGRQCYog,DeuXHGa4kYGZZrMRkx,b1p4vpYserMaku0Des,XBcpW6UAGmoYR,F5L76Dx6s87xikMz7vRMxOsizE,H0RMUrBIj9YJTswA9SXgHFVvJ,<blank>,<blank>,<blank>,<blank>,<blank>
4,kinetic terminal,calm pinot,kinetic terminal62519,1153,calm-pinot,1140,kinetic terminal_Final,1170,calm-pinot_Alt,BgODaqiHzYmCTFew9ozT0,MogOpYmJQlfawW8hj,bTcNks4k3Fcqw,0R0s81uhj8QxSyqF,hyEm8nL9hTDF3lxB6IyXfSVheoc,hlELo6EWFsSaPIVttwi1CuFxQ,aoZuco3msLrX6WLLSN4,UTM9xfZ,ICGWmsgHOEV68KcT4uvCKo6LnI,50cY3Iw9ann2PorY2Uxr,KIahfMreCN,xNQmm1AtpjxS4VtAlLd,0xua5RhZA,qBDOJ4Kn,RJdGqiFje6W3VrXPq,ykqifNfCJUjF50ub2,<blank>,<blank>,<blank>,<blank>,<blank>
5,achromatic jetsam,blazing deck,achromatic jetsam40570,341,blazing-deck,309,achromatic jetsam_Final,882,blazing-deck_Alt,bU7fTGKj1gQtFcYm7TO,Z7Ainct0BoXOlq,liaK9lIeZvuWcKa5S7zXazLNjQJ,LCkBBllh1aRuM4QBIWWsU,15w2L1IyTsdfg2hfRWLVGW2gv,6fxTim5JP8MMW4GdS1INMnP2GRcWd,IbnX537pN3nX9,9BObxtHXr5Rps2p,XfIag,KwUO8LU4Z3U,EaZkXM9SpjvJNYuMZ90N,ct03hZZUACH2uVZRZvP4,lbQHi,HnJbaM2E0ROu3ZtomjBPojcC,9gKU7Lb9XBvFEOhHH,en2DDcWdhk9ql9Wi2i8m08vmW8,<blank>,<blank>,<blank>,<blank>,<blank>
6,relaxed gulf,mild ray,relaxed gulf137690,210,mild-ray,162,relaxed gulf_Final,1086,mild-ray_Alt,33jVzJZMBnjl9ciG74qMpF0uj,ApPcg5TYAyD2ClkbAnB3Ww,iA6Ye4,ysvpzFUERpCb,wEAb0IdGrANcqTvkLLvEDwytASv,3UWUOt,5STXlDpk,HQ2VQrkKTmbTMv5uqeA3,LP2krXhTxeHc,WZXRJBsRv,zjmX34FXu9aD,YMnFbwIuzpzc51CFhcTt,RSJk5xK21CYBgoXJDfsj0HCRhO0KQ,AXoCqD,M6RJQSZVNl3CV84ntnGCaHpw87ErC,MTs3y5xD,<blank>,<blank>,<blank>,<blank>,<blank>
7,frosty melon,soft lambrusco,frosty melon88709,591,soft-lambrusco,527,frosty melon_Final,1332,soft-lambrusco_Alt,DJwcsB79AVst0o5Pj0j2tChKjZg,sSJYPX6K6m,Wrpa9UqJX1fkQNmqW0JHWJoMVY,bdBBV8feNvZjWB,a4X2LGaZV,JuTYDgQx3cbhKTEFKtC1Ol8bD5Vi,3HaUtJAlRXsPyz,tKdGVYNTP7TZhz0uzgz8Bv6FX,i1XGGL693,0wB14k9fSGDDtyDoDFDv3QrLQo,EmXx89mq3Y5Q3IYjADcm2,JeMiE0OfHe0uRsI5aftMcY1J2,vFtDgSdFaAK1qW0779t5TOHXFxK,0Jmd61OlcyF3S6,iB4skjLsexeFPcWW6,yisdCIVY3,<blank>,<blank>,<blank>,<blank>,<blank>
8,sour soccer,decidable boulevard,sour soccer135035,1688,decidable-boulevard,1694,sour soccer_Final,2235,decidable-boulevard_Alt,4It1hOt4KxPoB4nlcS7eXiuUSCXr,fOr4D8uvs326Gss8Ocf,lNapTEjjQ5jUpS4HPqcHfQxlQ8,Cp8sI8wQYTZ4Ymw,y3it3sPVWxWM621Ps5DmKw0,SKpLVUcS1z,WASywqM8oEDWYJRZIX,dDw5EV7QfzUnK7,6O4HXTi2WWGWigPZzzps3RXH,ZNcBkzR7RkF9f,VepY3yNbwAAVlxbWt871VDMwmYEq,zwQvWZXxYumDQCe2Ln6g,O73jZFkgV0,zgOT2F1uND6q1m5o,cKmHC5p6xAZRpR2lKZ35NeRhMG,nKvB0Sl2KD04Ivei,<blank>,<blank>,<blank>,<blank>,<blank>
9,roaring semaphore,forgiving snippet,roaring semaphore63651,1379,forgiving-snippet,1354,roaring semaphore_Final,1819,forgiving-snippet_Alt,EsavfCGuPlX3YpuavEEar,c6jWmPsLcU07lBEMG1PJkIcyXR,SotTtWDWnUeYT194MlB7i,hd5YivL1WF3uquv,10akF2wFdUXR8,9YeBU2aJnBennr1jQYm,IIOhRb7RiZgZBq5T1I,hB45v,Oi4JdBjtC5j,oWW6rq48KDi,JJuiCDe,4B0D2y5YwI1o,KblybGiBM0su6GYW7,F7t4p8tKMSNxJ6w,Jcp57B52uy10xjGls,wPRYaLIN6dGHW5jnI,<blank>,<blank>,<blank>,<blank>,<blank>
